sentence;performative;embedding;solution;domain
Check if project 202 has a bulldozer on site.;askOne;equipment_on_site/2;"equipment_on_site(202, ""Bulldozer"")";house_builder
Is a bulldozer currently allocated to project 202?;askOne;equipment_on_site/2;"equipment_on_site(202, ""Bulldozer"")";house_builder
Confirm the presence of a bulldozer at project 202.;askOne;equipment_on_site/2;"equipment_on_site(202, ""Bulldozer"")";house_builder
Does project 202 have a crane on site?;askOne;equipment_on_site/2;"equipment_on_site(202, ""Crane"")";house_builder
Is there a crane available at project 202?;askOne;equipment_on_site/2;"equipment_on_site(202, ""Crane"")";house_builder
Check if a crane is currently at the site for project 202.;askOne;equipment_on_site/2;"equipment_on_site(202, ""Crane"")";house_builder
Is project 202 equipped with a crane?;askOne;equipment_on_site/2;"equipment_on_site(202, ""Crane"")";house_builder
Tell me if project 202 currently has a crane on site.;askOne;equipment_on_site/2;"equipment_on_site(202, ""Crane"")";house_builder
Did the plumbing check get a passed status for any of the projects?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Plumbing"", _, ""Passed"")";house_builder
Has any plumbing inspection resulted in a passed outcome?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Plumbing"", _, ""Passed"")";house_builder
Look for the project where the plumbing inspection was marked as passed.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Plumbing"", _, ""Passed"")";house_builder
Which project had a plumbing inspection with a passed result?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Plumbing"", _, ""Passed"")";house_builder
Find the entry where the plumbing inspection is recorded as passed.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Plumbing"", _, ""Passed"")";house_builder
Did the electrical inspection for the previous project get a passed status?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Electrical"", _, ""Passed"")";house_builder
Show me if the electrical inspection was marked as passed for that last project.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Electrical"", _, ""Passed"")";house_builder
Has the electrical inspection for the most recent project been officially passed?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Electrical"", _, ""Passed"")";house_builder
Check if the electrical inspection result is passed for the last project.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Electrical"", _, ""Passed"")";house_builder
Verify if the electrical inspection for the last project resulted in a passed grade.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Electrical"", _, ""Passed"")";house_builder
Did the structural inspection for the most recent project come back as passed?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Structural"", _, ""Passed"")";house_builder
Has the structural check been marked as passed for the last project?;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Structural"", _, ""Passed"")";house_builder
I need to know if the structural inspection for the final project has a status of passed.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Structural"", _, ""Passed"")";house_builder
Confirm whether the structural audit for the last project was passed.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Structural"", _, ""Passed"")";house_builder
Check if the structural inspection for the previous project is recorded as passed.;askOne;inspection_scheduled/4;"inspection_scheduled(_, ""Structural"", _, ""Passed"")";house_builder
"List every project that currently has an ""Approved"" permit status";askAll;permit_status/3;"permit_status(_, _, ""Approved"")";house_builder
"Show me all the permits that have been marked as ""Approved""";askAll;permit_status/3;"permit_status(_, _, ""Approved"")";house_builder
"Which projects are listed as ""Approved"" right now?";askAll;permit_status/3;"permit_status(_, _, ""Approved"")";house_builder
"Find all of the projects with a status of ""Approved""";askAll;permit_status/3;"permit_status(_, _, ""Approved"")";house_builder
"I need a full list of projects that have an ""Approved"" status";askAll;permit_status/3;"permit_status(_, _, ""Approved"")";house_builder
Is project 202's environmental permit marked as approved?;askOne;permit_status/3;"permit_status(202, ""Environmental"", ""Approved"")";house_builder
Check if the status of the environmental permit for project 202 is approved.;askOne;permit_status/3;"permit_status(202, ""Environmental"", ""Approved"")";house_builder
I need to know if project 202 has an approved environmental permit.;askOne;permit_status/3;"permit_status(202, ""Environmental"", ""Approved"")";house_builder
Confirm whether the environmental permit for project 202 is currently approved.;askOne;permit_status/3;"permit_status(202, ""Environmental"", ""Approved"")";house_builder
Was the environmental permit for project 202 granted approval?;askOne;permit_status/3;"permit_status(202, ""Environmental"", ""Approved"")";house_builder
Tell me the status of project 202.;askOne;project_details/3;project_details(202, _, Status);house_builder
How is project 202 coming along?;askOne;project_details/3;project_details(202, _, Status);house_builder
I need to know the current phase for project 202.;askOne;project_details/3;project_details(202, _, Status);house_builder
What state is project 202 in right now?;askOne;project_details/3;project_details(202, _, Status);house_builder
Give me the progress update for project 202.;askOne;project_details/3;project_details(202, _, Status);house_builder
Plumbing was finished on 2025-04-20.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-04-20"")";house_builder
The date for the Plumbing milestone is 2025-04-20.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-04-20"")";house_builder
On 2025-04-20, the Plumbing stage was finalized.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-04-20"")";house_builder
Record that Plumbing reached completion on 2025-04-20.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-04-20"")";house_builder
The Plumbing task hit its milestone on 2025-04-20.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-04-20"")";house_builder
The project reached its framing milestone on 2025-09-16.;tell;project_milestone/3;"project_milestone(_, ""Framing"", ""2025-09-16"")";house_builder
Mark 2025-09-16 as the completion date for the framing stage.;tell;project_milestone/3;"project_milestone(_, ""Framing"", ""2025-09-16"")";house_builder
Framing was finished on 2025-09-16.;tell;project_milestone/3;"project_milestone(_, ""Framing"", ""2025-09-16"")";house_builder
The date for the framing milestone is set to 2025-09-16.;tell;project_milestone/3;"project_milestone(_, ""Framing"", ""2025-09-16"")";house_builder
On 2025-09-16, the framing milestone was finalized.;tell;project_milestone/3;"project_milestone(_, ""Framing"", ""2025-09-16"")";house_builder
Plumbing was officially finished on 2025-06-02.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-06-02"")";house_builder
Mark the 2025-06-02 date for the completion of the Plumbing stage.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-06-02"")";house_builder
The Plumbing phase reached its milestone on 2025-06-02.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-06-02"")";house_builder
We finished up the Plumbing portion on 2025-06-02.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-06-02"")";house_builder
The date for the Plumbing milestone is 2025-06-02.;tell;project_milestone/3;"project_milestone(_, ""Plumbing"", ""2025-06-02"")";house_builder
The inventory shows 123 units for pipes;tell;resource_inventory/2;"resource_inventory(""pipes"", 123)";house_builder
We are holding 123 pipes in our supply;tell;resource_inventory/2;"resource_inventory(""pipes"", 123)";house_builder
Our records indicate 123 pipes are available;tell;resource_inventory/2;"resource_inventory(""pipes"", 123)";house_builder
There are exactly 123 pipes currently in storage;tell;resource_inventory/2;"resource_inventory(""pipes"", 123)";house_builder
Our stock count for pipes is 123;tell;resource_inventory/2;"resource_inventory(""pipes"", 123)";house_builder
Our current stockpile holds 103 items of wood panels.;tell;resource_inventory/2;"resource_inventory(""wood panels"", 103)";house_builder
The inventory count for wood panels is exactly 103 units.;tell;resource_inventory/2;"resource_inventory(""wood panels"", 103)";house_builder
There are 103 wood panels available in the warehouse right now.;tell;resource_inventory/2;"resource_inventory(""wood panels"", 103)";house_builder
We are holding 103 units of wood panels.;tell;resource_inventory/2;"resource_inventory(""wood panels"", 103)";house_builder
The wood panels stock level is sitting at 103.;tell;resource_inventory/2;"resource_inventory(""wood panels"", 103)";house_builder
Project 202 requires an additional 82 steel beams.;tell;resource_needed/3;"resource_needed(202, ""steel beams"", unit(82))";house_builder
The construction team for project 202 is requesting 82 steel beams.;tell;resource_needed/3;"resource_needed(202, ""steel beams"", unit(82))";house_builder
For project 202, please allocate 82 steel beams.;tell;resource_needed/3;"resource_needed(202, ""steel beams"", unit(82))";house_builder
There is a requirement of 82 steel beams for project 202.;tell;resource_needed/3;"resource_needed(202, ""steel beams"", unit(82))";house_builder
Supply 82 steel beams to project 202.;tell;resource_needed/3;"resource_needed(202, ""steel beams"", unit(82))";house_builder
Project 202 is located at 123 Main Street and the soil is Clay.;tell;site_info/3;"site_info(202, ""123 Main Street"", ""Clay"")";house_builder
The ground at 123 Main Street for project 202 consists of Clay.;tell;site_info/3;"site_info(202, ""123 Main Street"", ""Clay"")";house_builder
For project 202, the site is situated at 123 Main Street with Clay ground.;tell;site_info/3;"site_info(202, ""123 Main Street"", ""Clay"")";house_builder
123 Main Street is the address for project 202, where the ground type is Clay.;tell;site_info/3;"site_info(202, ""123 Main Street"", ""Clay"")";house_builder
We have project 202 at 123 Main Street featuring Clay ground.;tell;site_info/3;"site_info(202, ""123 Main Street"", ""Clay"")";house_builder
Mr. Rossi is the designated contact person for SteelCorp.;tell;supplier_details/2;"supplier_details(""SteelCorp"", ""Mr. Rossi"")";house_builder
The point of contact for SteelCorp is Mr. Rossi.;tell;supplier_details/2;"supplier_details(""SteelCorp"", ""Mr. Rossi"")";house_builder
For SteelCorp, the contact individual is Mr. Rossi.;tell;supplier_details/2;"supplier_details(""SteelCorp"", ""Mr. Rossi"")";house_builder
SteelCorp's contact person is listed as Mr. Rossi.;tell;supplier_details/2;"supplier_details(""SteelCorp"", ""Mr. Rossi"")";house_builder
Connect with Mr. Rossi at SteelCorp.;tell;supplier_details/2;"supplier_details(""SteelCorp"", ""Mr. Rossi"")";house_builder
Which team member is working on project 202 in the role of architect?;askOne;team_assignment/3;"team_assignment(202, _, ""Architect"")";house_builder
Find the architect currently assigned to project 202.;askOne;team_assignment/3;"team_assignment(202, _, ""Architect"")";house_builder
Tell me the employee ID of the architect for project 202.;askOne;team_assignment/3;"team_assignment(202, _, ""Architect"")";house_builder
Show me the person serving as architect for project 202.;askOne;team_assignment/3;"team_assignment(202, _, ""Architect"")";house_builder
Identify the architect associated with project 202.;askOne;team_assignment/3;"team_assignment(202, _, ""Architect"")";house_builder
Project 202 produced 13 cubic meters of wood waste.;tell;waste_management/3;"waste_management(202, ""Wood"", 13)";house_builder
There are 13 cubic meters of wood debris recorded for project 202.;tell;waste_management/3;"waste_management(202, ""Wood"", 13)";house_builder
For project 202, we logged 13 cubic meters of wood.;tell;waste_management/3;"waste_management(202, ""Wood"", 13)";house_builder
We have 13 cubic meters of wood waste from project 202.;tell;waste_management/3;"waste_management(202, ""Wood"", 13)";house_builder
Project 202 resulted in a total of 13 cubic meters of wood waste.;tell;waste_management/3;"waste_management(202, ""Wood"", 13)";house_builder
Project 202 produced 32 units of wood waste.;tell;waste_management/3;"waste_management(202, ""Wood"", 32)";house_builder
The volume of wood waste for project 202 is 32 cubic meters.;tell;waste_management/3;"waste_management(202, ""Wood"", 32)";house_builder
For project 202, we recorded 32 of wood waste.;tell;waste_management/3;"waste_management(202, ""Wood"", 32)";house_builder
There was 32 cubic meters of wood debris from project 202.;tell;waste_management/3;"waste_management(202, ""Wood"", 32)";house_builder
Project 202 resulted in 32 cubic meters of wood waste.;tell;waste_management/3;"waste_management(202, ""Wood"", 32)";house_builder
the final transaction code is 45;tell;last_transaction_id/1;last_transaction_id(45);onbanking
transaction number 89 was the most recent one;tell;last_transaction_id/1;last_transaction_id(89);onbanking
the latest transaction identifier is 102;tell;last_transaction_id/1;last_transaction_id(102);onbanking
the last recorded transaction ID happens to be 7;tell;last_transaction_id/1;last_transaction_id(7);onbanking
that last transaction ID was 23;tell;last_transaction_id/1;last_transaction_id(23);onbanking
Pippo01 is currently not logged in;tell;login_status/2;"login_status(""Pippo01"", offline)";onbanking
The account Pippo01 shows as offline;tell;login_status/2;"login_status(""Pippo01"", offline)";onbanking
Status for Pippo01 is offline;tell;login_status/2;"login_status(""Pippo01"", offline)";onbanking
Pippo01 has an offline status;tell;login_status/2;"login_status(""Pippo01"", offline)";onbanking
It appears that Pippo01 is offline;tell;login_status/2;"login_status(""Pippo01"", offline)";onbanking
ErTrota04 couldn't get into the account;tell;failed_login/1;"failed_login(""ErTrota04"")";onbanking
I saw an unsuccessful sign-in attempt from ErTrota04;tell;failed_login/1;"failed_login(""ErTrota04"")";onbanking
ErTrota04 had a login error;tell;failed_login/1;"failed_login(""ErTrota04"")";onbanking
The account for ErTrota04 experienced a failed login;tell;failed_login/1;"failed_login(""ErTrota04"")";onbanking
Login rejected for ErTrota04;tell;failed_login/1;"failed_login(""ErTrota04"")";onbanking
dispatch message 5 to user 4040;tell;send_notification/2;send_notification(4040, 5);onbanking
user 1105 needs to receive alert 9;tell;send_notification/2;send_notification(1105, 9);onbanking
notify client 9921 with update 3;tell;send_notification/2;send_notification(9921, 3);onbanking
the system should push notification 7 to account 8876;tell;send_notification/2;send_notification(8876, 7);onbanking
transmit notice 1 to user 5543;tell;send_notification/2;send_notification(5543, 1);onbanking
the current balance for account 01343 is 3000 euros;tell;account/3;account(01343, _, 3000);onbanking
i see that account number 88291 holds 5500 euros;tell;account/3;account(88291, _, 5500);onbanking
the total funds in account 44920 amount to 1200 euros;tell;account/3;account(44920, _, 1200);onbanking
account 99210 sits at a balance of 800 euros;tell;account/3;account(99210, _, 800);onbanking
verify that account 55672 has 4200 euros;tell;account/3;account(55672, _, 4200);onbanking
Fabiuccio222 just signed in;tell;successful_login/1;"successful_login(""Fabiuccio222"")";onbanking
Access granted for user Fabiuccio222;tell;successful_login/1;"successful_login(""Fabiuccio222"")";onbanking
Fabiuccio222 successfully authenticated;tell;successful_login/1;"successful_login(""Fabiuccio222"")";onbanking
It seems Fabiuccio222 is now logged in;tell;successful_login/1;"successful_login(""Fabiuccio222"")";onbanking
Fabiuccio222 finished the login process;tell;successful_login/1;"successful_login(""Fabiuccio222"")";onbanking
Card 0021 is currently blocked;tell;card_status/2;card_status(0021, blocked);onbanking
Mark card 0021 as blocked;tell;card_status/2;card_status(0021, blocked);onbanking
The status of card 0021 is blocked;tell;card_status/2;card_status(0021, blocked);onbanking
I need to report that card 0021 is blocked;tell;card_status/2;card_status(0021, blocked);onbanking
Card 0021 status is set to blocked;tell;card_status/2;card_status(0021, blocked);onbanking
Account 0123 processed a payment of 200 euros on 12/12/2021;tell;transaction/6;"transaction(_, 0123, _, 200, ""12/12/2021"", _)";onbanking
On 12/12/2021, a 200 euro transaction occurred via account 0123;tell;transaction/6;"transaction(_, 0123, _, 200, ""12/12/2021"", _)";onbanking
I see a 200 euro transaction linked to account 0123 dated 12/12/2021;tell;transaction/6;"transaction(_, 0123, _, 200, ""12/12/2021"", _)";onbanking
Account 0123 shows a transaction for 200 euros on 12/12/2021;tell;transaction/6;"transaction(_, 0123, _, 200, ""12/12/2021"", _)";onbanking
A transaction of 200 euros was made by account 0123 on 12/12/2021;tell;transaction/6;"transaction(_, 0123, _, 200, ""12/12/2021"", _)";onbanking
The login attempt for the Pluto account yesterday resulted in a failure;tell;authentication_attempt/3;"authentication_attempt(""Pluto"", _, failed)";onbanking
Pluto account access was denied during the latest attempt;tell;authentication_attempt/3;"authentication_attempt(""Pluto"", _, failed)";onbanking
Someone wasn't able to get into the Pluto account recently;tell;authentication_attempt/3;"authentication_attempt(""Pluto"", _, failed)";onbanking
A failed login event occurred on the Pluto account;tell;authentication_attempt/3;"authentication_attempt(""Pluto"", _, failed)";onbanking
Access to Pluto was unsuccessful when someone tried to sign in;tell;authentication_attempt/3;"authentication_attempt(""Pluto"", _, failed)";onbanking
List every card that currently has a blocked status;askAll;card_status/2;card_status(_, blocked);onbanking
Show me which cards are marked as blocked;askAll;card_status/2;card_status(_, blocked);onbanking
Display all blocked cards;askAll;card_status/2;card_status(_, blocked);onbanking
Find all cards with the status blocked;askAll;card_status/2;card_status(_, blocked);onbanking
Provide a list of all cards currently showing as blocked;askAll;card_status/2;card_status(_, blocked);onbanking
List all customer IDs and their corresponding security alert types;askAll;security_alert/2;security_alert(_, _);onbanking
Show me every user ID that triggered a security alert and specify the type;askAll;security_alert/2;security_alert(_, _);onbanking
Retrieve the full list of security alerts along with the associated customer identifiers;askAll;security_alert/2;security_alert(_, _);onbanking
Give me a report of all security alert instances including customer IDs and alert categories;askAll;security_alert/2;security_alert(_, _);onbanking
I want a complete dump of all security alerts, showing both the customer ID and the alert type;askAll;security_alert/2;security_alert(_, _);onbanking
Show me every account that had a failed login attempt;askAll;failed_login/1;failed_login(_);onbanking
List all of the usernames that couldn't get signed in;askAll;failed_login/1;failed_login(_);onbanking
Which accounts experienced login failures;askAll;failed_login/1;failed_login(_);onbanking
I need a list of all accounts that failed to log in;askAll;failed_login/1;failed_login(_);onbanking
Display all accounts that faced issues logging into the system;askAll;failed_login/1;failed_login(_);onbanking
"list every authentication record for the user ""Bulbasaur15"" that occurred on 4/12/2023";askAll;authentication_attempt/3;"authentication_attempt(""Bulbasaur15"", ""4/12/2023"", _)";onbanking
"show me all the times ""Bulbasaur15"" tried to log in on 4/12/2023";askAll;authentication_attempt/3;"authentication_attempt(""Bulbasaur15"", ""4/12/2023"", _)";onbanking
"get all authentication_attempt entries for ""Bulbasaur15"" dated 4/12/2023";askAll;authentication_attempt/3;"authentication_attempt(""Bulbasaur15"", ""4/12/2023"", _)";onbanking
"find every login event associated with ""Bulbasaur15"" for the date 4/12/2023";askAll;authentication_attempt/3;"authentication_attempt(""Bulbasaur15"", ""4/12/2023"", _)";onbanking
"display all authentication_attempt data involving ""Bulbasaur15"" on 4/12/2023";askAll;authentication_attempt/3;"authentication_attempt(""Bulbasaur15"", ""4/12/2023"", _)";onbanking
What is the daily limit for all accounts currently set at 200 euro?;askAll;transfer_limit/2;transfer_limit(_, 200);onbanking
Show me all account types that allow a daily transfer of 200 euro.;askAll;transfer_limit/2;transfer_limit(_, 200);onbanking
List every account category with a 200 euro cap.;askAll;transfer_limit/2;transfer_limit(_, 200);onbanking
Which account tiers are restricted to a 200 euro daily transfer?;askAll;transfer_limit/2;transfer_limit(_, 200);onbanking
Identify all accounts that have a 200 euro daily limit.;askAll;transfer_limit/2;transfer_limit(_, 200);onbanking
Tell me the identifier for the most recent transaction.;askOne;last_transaction_id/1;last_transaction_id(_);onbanking
Which ID corresponds to the latest transaction?;askOne;last_transaction_id/1;last_transaction_id(_);onbanking
Show me the id of the last transaction processed.;askOne;last_transaction_id/1;last_transaction_id(_);onbanking
I need to know the id of the final transaction.;askOne;last_transaction_id/1;last_transaction_id(_);onbanking
What is the latest transaction id?;askOne;last_transaction_id/1;last_transaction_id(_);onbanking
How much can I transfer if I have a premium account?;askOne;transfer_limit/2;transfer_limit(premium, _);onbanking
Tell me the maximum amount allowed for a premium account.;askOne;transfer_limit/2;transfer_limit(premium, _);onbanking
What is the daily cap for premium users?;askOne;transfer_limit/2;transfer_limit(premium, _);onbanking
Show me the transfer limit for premium status.;askOne;transfer_limit/2;transfer_limit(premium, _);onbanking
I need to know the limit for a premium account.;askOne;transfer_limit/2;transfer_limit(premium, _);onbanking
"Is ""Giratina12"" currently logged in or out?";askOne;login_status/2;"login_status(""Giratina12"", _)";onbanking
"What is the current session status for user ""Giratina12""?";askOne;login_status/2;"login_status(""Giratina12"", _)";onbanking
"Check if ""Giratina12"" is active right now.";askOne;login_status/2;"login_status(""Giratina12"", _)";onbanking
"I need to know the login state for ""Giratina12"".";askOne;login_status/2;"login_status(""Giratina12"", _)";onbanking
"Show me the connection status for ""Giratina12"".";askOne;login_status/2;"login_status(""Giratina12"", _)";onbanking
Find the username associated with customer ID 11;askOne;user/3;user(_, _, 11);onbanking
Who is the user assigned to customer 11;askOne;user/3;user(_, _, 11);onbanking
Show me the username for customer 11;askOne;user/3;user(_, _, 11);onbanking
Identify the username linked to account 11;askOne;user/3;user(_, _, 11);onbanking
Give me the username for customer record 11;askOne;user/3;user(_, _, 11);onbanking
What is the current state of card 321?;askOne;card_status/2;card_status(321, _);onbanking
Check the status for card 321.;askOne;card_status/2;card_status(321, _);onbanking
I need to know the standing of card 321.;askOne;card_status/2;card_status(321, _);onbanking
Is card 321 active or blocked?;askOne;card_status/2;card_status(321, _);onbanking
Show me the info for card 321.;askOne;card_status/2;card_status(321, _);onbanking
What is the pending transaction for account 122?;askOne;pending_transaction/2;pending_transaction(_, 122);onbanking
Show me any transaction currently pending for account number 122.;askOne;pending_transaction/2;pending_transaction(_, 122);onbanking
Which transaction is waiting on account 122?;askOne;pending_transaction/2;pending_transaction(_, 122);onbanking
I need to find the pending transaction associated with account 122.;askOne;pending_transaction/2;pending_transaction(_, 122);onbanking
Lookup the pending transaction linked to account 122.;askOne;pending_transaction/2;pending_transaction(_, 122);onbanking
What is the payment amount for transaction 222?;askOne;bill_payment/5;bill_payment(222, _, _, _, _);onbanking
Show me the total for bill number 222.;askOne;bill_payment/5;bill_payment(222, _, _, _, _);onbanking
How much was paid for the transaction with ID 222?;askOne;bill_payment/5;bill_payment(222, _, _, _, _);onbanking
Find the value associated with payment 222.;askOne;bill_payment/5;bill_payment(222, _, _, _, _);onbanking
I am checking the amount for payment 222.;askOne;bill_payment/5;bill_payment(222, _, _, _, _);onbanking
the robot's current state is charging;tell;robot_status/1;robot_status(recharging);robot_assistant
currently the bot is in charging mode;tell;robot_status/1;robot_status(recharging);robot_assistant
the robot is now recharging;tell;robot_status/1;robot_status(recharging);robot_assistant
set the robot status to charging;tell;robot_status/1;robot_status(recharging);robot_assistant
the machine is presently recharging;tell;robot_status/1;robot_status(recharging);robot_assistant
The charge is currently at 45%;tell;battery_level/1;battery_level(45);robot_assistant
My battery percentage sits at 92%;tell;battery_level/1;battery_level(92);robot_assistant
The power level is 15%;tell;battery_level/1;battery_level(15);robot_assistant
I'm looking at a battery status of 60%;tell;battery_level/1;battery_level(60);robot_assistant
The remaining battery is 33%;tell;battery_level/1;battery_level(33);robot_assistant
iPhone15 works perfectly with AppleCase;tell;accessory_compatible/2;"accessory_compatible(""iPhone15"", ""AppleCase"")";robot_assistant
Is SonyHeadphones compatible with BoseAdapter?;tell;accessory_compatible/2;"accessory_compatible(""SonyHeadphones"", ""BoseAdapter"")";robot_assistant
Show me all items compatible with LogitechMouse;tell;accessory_compatible/2;"accessory_compatible(_, ""LogitechMouse"")";robot_assistant
Pixel8 is officially supported by GoogleStand;tell;accessory_compatible/2;"accessory_compatible(""Pixel8"", ""GoogleStand"")";robot_assistant
List every accessory that works with KindlePaperwhite;tell;accessory_compatible/2;"accessory_compatible(_, ""KindlePaperwhite"")";robot_assistant
The PlayStation is currently sold out;tell;out_of_stock/1;"out_of_stock(""PlayStation"")";robot_assistant
We have run out of Laptops;tell;out_of_stock/1;"out_of_stock(""Laptops"")";robot_assistant
Headphones are no longer in stock;tell;out_of_stock/1;"out_of_stock(""Headphones"")";robot_assistant
Monitors are completely unavailable right now;tell;out_of_stock/1;"out_of_stock(""Monitors"")";robot_assistant
Cameras are out of stock;tell;out_of_stock/1;"out_of_stock(""Cameras"")";robot_assistant
Find all locations where the Camera is being displayed;tell;product_on_display/2;"product_on_display(""Camera"", _)";robot_assistant
Show me which display the Monitor is currently featured on;tell;product_on_display/2;"product_on_display(""Monitor"", _)";robot_assistant
The promo for Samsung is set at 15% starting 3/5/2026 and ending 3/6/2026;tell;promotion_active/4;"promotion_active(""Samsung"", 15, ""3/5/2026"", ""3/6/2026"")";robot_assistant
Is there a 25% discount active for iPhone between 5/5/2025 and 6/5/2025?;tell;promotion_active/4;"promotion_active(""iPhone"", 25, ""5/5/2025"", ""6/5/2025"")";robot_assistant
Show me all active promotions that offer a 10% discount ending on 12/12/2025;tell;promotion_active/4;"promotion_active(_, 10, _, ""12/12/2025"")";robot_assistant
Sony provides a 30% price cut from 2/2/2025 until 2/3/2025;tell;promotion_active/4;"promotion_active(""Sony"", 30, ""2/2/2025"", ""2/3/2025"")";robot_assistant
Find the discount percentage and date range for the LG promo;tell;promotion_active/4;"promotion_active(""LG"", _, _, _)";robot_assistant
List every return process linked to Samsung products;askAll;return_process/2;"return_process(_, ""Samsung"")";robot_assistant
Show me all return options for Samsung devices;askAll;return_process/2;"return_process(_, ""Samsung"")";robot_assistant
What return procedures are registered for Samsung items?;askAll;return_process/2;"return_process(_, ""Samsung"")";robot_assistant
Find every available return process for a Samsung device;askAll;return_process/2;"return_process(_, ""Samsung"")";robot_assistant
Retrieve all return processes applicable to Samsung;askAll;return_process/2;"return_process(_, ""Samsung"")";robot_assistant
list every item currently out of stock;askAll;out_of_stock/1;out_of_stock(_);robot_assistant
show me all the products that aren't available;askAll;out_of_stock/1;out_of_stock(_);robot_assistant
what are all the things that are currently out of stock?;askAll;out_of_stock/1;out_of_stock(_);robot_assistant
display the full list of unavailable products;askAll;out_of_stock/1;out_of_stock(_);robot_assistant
find all the items that we do not have in stock right now;askAll;out_of_stock/1;out_of_stock(_);robot_assistant
List every promotion that runs through 1/1/2026;askAll;promotion_active/4;"promotion_active(_, _, _, ""1/1/2026"")";robot_assistant
Which deals are currently scheduled to end on 1/1/2026?;askAll;promotion_active/4;"promotion_active(_, _, _, ""1/1/2026"")";robot_assistant
Show me all active promotions ending on 1/1/2026;askAll;promotion_active/4;"promotion_active(_, _, _, ""1/1/2026"")";robot_assistant
I need a list of every promotion valid until 1/1/2026;askAll;promotion_active/4;"promotion_active(_, _, _, ""1/1/2026"")";robot_assistant
Display all promotions that expire on 1/1/2026;askAll;promotion_active/4;"promotion_active(_, _, _, ""1/1/2026"")";robot_assistant
list every item that currently has a stock count of 9;askAll;product_in_stockroom/2;product_in_stockroom(_, 9);robot_assistant
show me all products with exactly 9 units left in the stockroom;askAll;product_in_stockroom/2;product_in_stockroom(_, 9);robot_assistant
what are the items that have a quantity of 9 in stock;askAll;product_in_stockroom/2;product_in_stockroom(_, 9);robot_assistant
find all products where the remaining inventory is 9;askAll;product_in_stockroom/2;product_in_stockroom(_, 9);robot_assistant
give me a list of all items in the stockroom with a quantity of 9;askAll;product_in_stockroom/2;product_in_stockroom(_, 9);robot_assistant
List every customer who has shown interest in the dishwasher;askAll;customer_request/2;customer_request(_, dishwasher);robot_assistant
Show me all customers looking for a dishwasher;askAll;customer_request/2;customer_request(_, dishwasher);robot_assistant
Give me a list of all clients who want a dishwasher;askAll;customer_request/2;customer_request(_, dishwasher);robot_assistant
Who are all the customers that have requested a dishwasher;askAll;customer_request/2;customer_request(_, dishwasher);robot_assistant
Find all the users interested in the dishwasher;askAll;customer_request/2;customer_request(_, dishwasher);robot_assistant
List every accessory that works with PixelPhone3;askAll;accessory_compatible/2;"accessory_compatible(""PixelPhone3"", _)";robot_assistant
Show me all the accessories that are compatible with the PixelPhone3;askAll;accessory_compatible/2;"accessory_compatible(""PixelPhone3"", _)";robot_assistant
Find all items that can be used with PixelPhone3;askAll;accessory_compatible/2;"accessory_compatible(""PixelPhone3"", _)";robot_assistant
Which accessories are compatible with PixelPhone3?;askAll;accessory_compatible/2;"accessory_compatible(""PixelPhone3"", _)";robot_assistant
Display all of the accessories that pair with PixelPhone3;askAll;accessory_compatible/2;"accessory_compatible(""PixelPhone3"", _)";robot_assistant
How much power is left in the battery?;askOne;battery_level/1;battery_level(_);robot_assistant
Check the current battery status for me.;askOne;battery_level/1;battery_level(_);robot_assistant
What percentage is the battery at right now?;askOne;battery_level/1;battery_level(_);robot_assistant
Show the robot battery level.;askOne;battery_level/1;battery_level(_);robot_assistant
Give me the battery reading.;askOne;battery_level/1;battery_level(_);robot_assistant
What is the current charging status of the robot?;askOne;charging_status/1;charging_status(_);robot_assistant
Is the robot currently charging or not?;askOne;charging_status/1;charging_status(_);robot_assistant
Tell me the charging state for the robot.;askOne;charging_status/1;charging_status(_);robot_assistant
Check the charging status of the bot.;askOne;charging_status/1;charging_status(_);robot_assistant
I need to know if the robot is charging right now.;askOne;charging_status/1;charging_status(_);robot_assistant
